ID,POSITION
0,8
1,8
2,5
3,3
4,1
5,3
6,5
7,7
8,5
9,5
10,5
11,0
12,7
13,5
14,7
15,1
16,8
17,0
18,3
19,3
20,7
21,1
22,5
23,1
24,5
25,5
26,6
27,6
28,3
29,3
30,3
31,6
32,9
33,5
34,9
35,4
36,5
37,3
38,4
39,9
40,0
41,4
42,5
43,1
44,6
45,9
46,9
47,0
48,4
49,5
50,4
51,0
52,8
53,7
54,5
55,2
56,1
57,6
58,5
59,6
60,5
61,1
62,5
63,6
64,4
65,7
66,4
67,6
68,9
69,2
70,5
71,4
72,9
73,6
74,3
75,5
76,4
77,9
78,3
79,5
80,5
81,6
82,5
83,5
84,4
85,2
86,3
87,9
88,1
89,8
90,4
91,5
92,8
93,1
94,5
95,3
96,7
97,9
98,5
99,1
100,8
101,6
102,3
103,9
104,1
105,5
106,5
107,4
108,3
109,1
110,5
111,9
112,0
113,5
114,0
115,7
116,2
117,3
118,1
119,6
120,7
121,8
122,1
123,5
124,5
125,0
126,7
127,3
128,5
129,5
130,9
131,3
132,7
133,6
134,5
135,4
136,3
137,5
138,4
139,1
140,3
141,6
142,4
143,6
144,6
145,4
146,8
147,5
148,1
149,6
150,0
151,3
152,4
153,4
154,7
155,5
156,6
157,5
158,5
159,2
160,6
161,5
162,5
163,5
164,5
165,8
166,3
167,5
168,0
169,0
170,4
171,8
172,8
173,6
174,6
175,1
176,8
177,2
178,5
179,5
180,4
181,4
182,4
183,4
184,8
185,4
186,6
187,2
188,5
189,8
190,6
191,8
192,2
193,4
194,4
195,3
196,1
197,0
198,8
199,3
200,3
201,1
202,3
203,1
204,5
205,5
206,6
207,8
208,1
209,5
210,1
211,3
212,2
213,3
214,8
215,3
216,0
217,4
218,7
219,1
220,8
221,3
222,1
223,8
224,3
225,3
226,6
227,5
228,6
229,3
230,1
231,2
232,4
233,3
234,4
235,7
236,3
237,9
238,6
239,6
240,7
241,2
242,0
243,7
244,1
245,6
246,7
247,5
248,0
249,4
250,8
251,5
252,1
253,9
254,5
255,9
256,3
257,5
258,7
259,3
260,0
261,5
262,6
263,3
264,1
265,2
266,5
267,8
268,5
269,3
270,0
271,1
272,3
273,7
274,0
275,6
276,2
277,9
278,4
279,3
280,8
281,5
282,1
283,2
284,1
285,2
286,5
287,5
288,9
289,5
290,4
291,8
292,0
293,9
294,0
295,2
296,1
297,8
298,5
299,5
300,8
301,6
302,6
303,5
304,9
305,5
306,6
307,6
308,9
309,5
310,0
311,0
312,9
313,8
314,1
315,9
316,4
317,1
318,8
319,1
320,5
321,3
322,9
323,5
324,9
325,5
326,1
327,5
328,5
329,4
330,8
331,3
332,5
333,7
334,8
335,6
336,5
337,7
338,3
339,7
340,2
